BORO;STREET
Brooklyn;814 NOSTRAND AVENUE
Queens;6416 ROOSEVELT AVE.
Manhattan;242 8th AVENUE
Brooklyn;9105 4th AVENUE
Manhattan;0 & GRAND CENTRAL
Brooklyn;219 DEKALB AVENUE
Manhattan;1522 AMSTERDAM AVENUE
Manhattan;2531 FREDERICK DOUGLASS BOULEVARD
Bronx;746 EAST  233rd STREET
Bronx;854 SOUNDVIEW AVENUE
Manhattan;30 WEST   53rd STREET
Brooklyn;7214 3rd AVENUE
Staten Island;89 GUYON AVENUE
Bronx;5625 BROADWAY
Brooklyn;609 EAST   53rd STREET
Manhattan;163 MULBERRY STREET
Manhattan;841 BROADWAY
Manhattan;719 2nd AVENUE
Manhattan;64 FULTON STREET
Manhattan;350 WEST   42nd STREET
Brooklyn;6004 8th AVENUE
Manhattan;33 CROSBY STREET
Manhattan;244 WEST   48th STREET
Brooklyn;1116 BEDFORD AVENUE
Bronx;582 MORRIS AVENUE
Manhattan;23 EAST   23rd STREET
Brooklyn;8204 18th AVENUE
Brooklyn;5121 8th AVENUE
Brooklyn;564 DEKALB AVENUE
Brooklyn;2486 CONEY ISLAND AVENUE
Brooklyn;5811 4th AVENUE
Manhattan;1375 AVENUE OF THE AMERICAS
Manhattan;350 5th AVENUE
Queens;13110 ROCKAWAY BLVD
Manhattan;2705 BROADWAY
Brooklyn;750 MYRTLE AVENUE
Bronx;4034 EAST TREMONT AVENUE
Brooklyn;72 5th AVENUE
Staten Island;1614 FOREST AVENUE
Manhattan;247 DYCKMAN STREET
Queens;22-55 31st STREET
Manhattan;32 AVENUE A
Bronx;613 EAST TREMONT AVENUE
Queens;29-04 172nd STREET
Queens;6122B FRESH POND RD
Bronx;32 EAST KINGSBRIDGE ROAD
Manhattan;146 EAST   55th STREET
Brooklyn;103 NORTH    3rd STREET
Queens;8901 101ST AVE
Manhattan;30 ROCKFEELLER PLAZA
Queens;135-11 ROCKAWAY BOULEVARD
Queens;15708 NORTHERN BLVD
Bronx;510 WILLIS AVENUE
Bronx;2419 GRAND CONCOURSE
Brooklyn;1 OLD FULTON STREET
Manhattan;463 7th AVENUE
Manhattan;254 WEST   47th STREET
Brooklyn;349 BROADWAY
Brooklyn;5012 AVENUE M
Queens;202-24 ROCKAWAY POINT BOULEVARD
Manhattan;179 AVENUE B
Bronx;1982 WESTCHESTER AVENUE
Queens;81-16 NORTHERN BOULEVARD
Queens;59-40 MYRTLE AVENUE
Brooklyn;6201 11st AVENUE
Brooklyn;8002 5th AVENUE
Manhattan;171 MADISON AVENUE
Queens;9711 QUEENS BLVD
Brooklyn;658 ROGERS AVENUE
Manhattan;215 WEST   85th STREET
Brooklyn;7202 NEW UTRECHT AVENUE
Manhattan;145 EAST   47th STREET
Brooklyn;8518 5th AVENUE
Brooklyn;2117 CORTELYOU ROAD
Manhattan;65 LUDLOW STREET
Manhattan;401 EAST   58th STREET
Bronx;193 WEST  237th STREET
Queens;11464 MERRICK BLVD
Manhattan;3662 BROADWAY
Manhattan;245 5th AVENUE
Queens;975 SENECA AVENUE
Brooklyn;5100 KINGS PLZ
Bronx;555 CITY ISLAND AVENUE
Brooklyn;108 FRANKLIN STREET
Queens;5506 MYRTLE AVE
Queens;9617 LIBERTY AVE
Queens;11915 LIBERTY AVE
Bronx;6025 BROADWAY
Manhattan;5 BEEKMAN STREET
Manhattan;2893 BROADWAY
Brooklyn;172 GRAND STREET
Manhattan;80 COLUMBUS CIRCLE at 60th street
Manhattan;135 WEST  116th STREET
Staten Island;133 MCCLEAN AVENUE
Brooklyn;5100 KINGS PLAZA SHOPPING CT
Manhattan;116 WEST   32nd STREET
Brooklyn;314-316 MARCY AVE
Manhattan;1711 LEXINGTON AVENUE
Manhattan;20 WEST   39th STREET
Brooklyn;372 FULTON STREET
Brooklyn;80 HENRY STREET
Queens;96-27 LINDEN BOULEVARD
Brooklyn;6510 BAY PARKWAY
Queens;17937 HILLSIDE AVE
Queens;14712 JAMAICA AVE
Manhattan;1475 1st AVENUE
Brooklyn;520 HENRY STREET
Queens;60-59 MYRTLE AVENUE
Bronx;505 EAST  163rd STREET
Manhattan;960 MADISON AVENUE
Queens;9520 101ST AVE
Bronx;41 CITY ISLAND AVENUE
Manhattan;205 WEST   14th STREET
Queens;22320 LINDEN BLVD
Brooklyn;6202 18th AVENUE
Manhattan;139 ESSEX STREET
Manhattan;4996 BROADWAY
Bronx;1772 WESTCHESTER AVENUE
Manhattan;528 9th AVENUE
Staten Island;1562 HYLAN BOULEVARD
Bronx;4120A WHITE PLAINS ROAD
Bronx;1790 EASTCHESTER ROAD
Brooklyn;218 COURT STREET
Brooklyn;182 BEDFORD AVENUE
Manhattan;170 WILLIAM STREET
Queens;3212 31st STREET
Brooklyn;802 56th STREET
Manhattan;59 2nd AVENUE
Manhattan;722 AMSTERDAM AVENUE
Brooklyn;2180 86th STREET
Manhattan;250 10th AVENUE
Queens;3910 103rd STREET
Manhattan;168 BROOME STREET
Brooklyn;2784 LINDEN BOULEVARD
Manhattan;55 BOND STREET
Brooklyn;1430 ROCKAWAY PARKWAY
Queens;4011 BELL BOULEVARD
Manhattan;15 EAST    7th STREET
Manhattan;1015 AVENUE OF THE AMERICAS
Manhattan;27 WAVERLY PLACE
Manhattan;662 9th AVENUE
Manhattan;1613 2nd AVENUE
Manhattan;1230 6th AVENUE
Manhattan;300 GRAND STREET
Bronx;3815 DYRE AVENUE
Manhattan;460 9th AVENUE
Brooklyn;730 FLATBUSH AVENUE
Manhattan;83 CANAL STREET
Brooklyn;108 FRANKLIN STREET
Queens;71-47 KISSENA BOULEVARD
Brooklyn;758 NOSTRAND AVENUE
Manhattan;254 10th AVENUE
Brooklyn;1370 PENNSYLVANIA AVENUE
Staten Island;203 GIFFORDS LANE
Queens;10105 QUEENS BLVD
Brooklyn;2132 FLATBUSH AVENUE
Staten Island;853 CASTLETON AVENUE
Manhattan;73 WEST   71st STREET
Queens;8021 37th AVENUE
Staten Island;4215 HYLAN BOULEVARD
Queens;4718 VERNON BOULEVARD
Bronx;1206 STRATFORD AVENUE
Manhattan;13 ST MARKS PLACE
Manhattan;118 WEST   57th STREET
Manhattan;2680 BROADWAY
Bronx;3843 EAST TREMONT AVENUE
Staten Island;1180 FOREST AVENUE
Queens;12926 MERRICK BLVD
Bronx;193 WEST  237th STREET
Queens;5455 MYRTLE AVE
Manhattan;27 PRINCE STREET
Queens;36-09 MAIN STREET
Bronx;3110 EAST TREMONT AVENUE
Manhattan;201 FIRST AVENUE
Queens;136-55 ROOSEVELT AVENUE
Manhattan;156 10th AVENUE
Manhattan;424 WEST   43rd STREET
Manhattan;1800 BROADWAY
Manhattan;1 WALKER STREET
Bronx;980 MORRIS PARK AVENUE
Brooklyn;1710 EASTERN PARKWAY
Manhattan;969 AMSTERDAM AVENUE
Brooklyn;1643 BROADWAY
Manhattan;29 EAST    8th STREET
Manhattan;1111 LEXINGTON AVENUE
Manhattan;1000 5th AVENUE
Brooklyn;867 FLATBUSH AVENUE
Brooklyn;518 COURT STREET
Queens;5008 SKILLMAN AVE
Queens;17104 NORTHERN BLVD
Brooklyn;892 WYCKOFF AVENUE
Bronx;2559 3rd AVENUE
Staten Island;1189 BAY STREET
Manhattan;500 WEST  146th STREET
Manhattan;242 EAST   79th STREET
Manhattan;1223 3rd AVENUE
Queens;40-09 PRINCE STREET
Manhattan;127 FULTON STREET
Staten Island;1063 POST AVENUE
Manhattan;33 WEST   26th STREET
Manhattan;217 EAST   49th STREET
Brooklyn;439 3rd AVENUE
Brooklyn;2347 86th STREET
Queens;2511 SEAGIRT AVE
Queens;10810 GUY R BREWER BLVD
Queens;11-11 131st STREET
Brooklyn;5401 5th AVENUE
Manhattan;128 EAST   63rd STREET
Manhattan;4716 BROADWAY
Manhattan;153 FIRST AVENUE
Queens;103-21 METROPOLITAN AVENUE
Bronx;545 EAST  183rd STREET
Manhattan;114 3rd AVENUE
Manhattan;195 BROADWAY
Queens;10014 NORTHERN BLVD
Manhattan;100 LEXINGTON AVENUE
Brooklyn;6820 18th AVENUE
Queens;3636 PRINCE ST
Manhattan;7 DIVISION STREET
Queens;102-06 43rd AVENUE
Manhattan;44 LITTLE WEST   12nd STREET
Manhattan;322 EAST   86th STREET
Manhattan;4 PENN PLZ
Manhattan;700 EAST    9th STREET
Manhattan;129 4th AVENUE
Bronx;1011 WESTCHESTER AVENUE
Bronx;276 EAST  149th STREET
Brooklyn;6417 17th AVENUE
Manhattan;1318 SAINT NICHOLAS AVENUE
Brooklyn;1869 BATH AVENUE
Staten Island;2626 HYLAN BOULEVARD
Manhattan;75 MAIDEN LANE
Brooklyn;276 KNICKERBOCKER AVENUE
Staten Island;605 FOREST AVENUE
Manhattan;28 EAST   12nd STREET
Brooklyn;204 WYTHE AVENUE
Queens;149-21A 41st AVENUE
Manhattan;993 COLUMBUS AVENUE
Queens;133-09 CROSS BAY BOULEVARD
Bronx;703 MINNIEFORD AVENUE
Manhattan;30 WEST    8th STREET
Brooklyn;59 CHURCH AVENUE
Brooklyn;8 WILSON AVENUE
Manhattan;530542 WEST   27th STREET
Brooklyn;6303 8TH AVENUE
Brooklyn;906 BROADWAY
Queens;9004 JAMAICA AVE
Bronx;1730 CROSS BRONX EXPY
Bronx;57 EAST TREMONT AVENUE
Manhattan;57 CLINTON STREET
Manhattan;38 ELDRIDGE STREET
Brooklyn;278B 5th AVENUE
Queens;40-06 74th STREET
Manhattan;59 WEST   30th STREET
Bronx;495 EAST  138th STREET
Queens;19623 JAMAICA AVE
Manhattan;888 8th AVENUE
Manhattan;1743 LEXINGTON AVENUE
Queens;10-43 44th DRIVE
Brooklyn;4918 5th AVENUE
Manhattan;7 EAST   14th STREET
Manhattan;1504 LEXINGTON AVENUE
Brooklyn;636 CARLTON AVENUE
Queens;4219 102ND ST
Brooklyn;1048 BEDFORD AVENUE
Queens;71-24 MAIN STREET
Queens;9017 31ST AVE
Queens;13350 WHITESTONE EXPY
Bronx;980 LONGWOOD AVENUE
Brooklyn;5407 2nd AVENUE
Queens;4025 CRESCENT ST
Brooklyn;1827 FLATBUSH AVENUE
Brooklyn;7902 FLATLANDS AVENUE
Queens;11000 ROCKAWAY BOULEVARD
Queens;3778 103rd STREET
Queens;566 ONDERDONK AVENUE
Staten Island;2655 RICHMOND AVENUE
Manhattan;29 EAST   20th STREET
Brooklyn;857 ATLANTIC AVENUE
Queens;110-17 JAMAICA AVENUE
Queens;3709 31ST AVE
Manhattan;452 WASHINGTON STREET
Brooklyn;2480 86th STREET
Manhattan;15 EAST   12nd STREET
Manhattan;88 DIVISION STREET
Manhattan;624660 WEST   42nd STREET
Manhattan;51 COLUMBIA STREET
Queens;32-10 36th AVENUE
Queens;3761 103RD ST
Brooklyn;5622 8th AVENUE
Manhattan;4030 BROADWAY
Manhattan;75 9th AVENUE
Manhattan;153 WEST   57th STREET
Manhattan;236 EAST   58th STREET
Queens;1 COURT SQUARE
Brooklyn;5817 4th AVENUE
Manhattan;37 KENMARE STREET
Bronx;2462 GRAND CONCOURSE
Brooklyn;383 VAN BRUNT STREET
Queens;3932 BELL BLVD
Manhattan;30 BROAD STREET
Bronx;2181 GRAND CONCOURSE
Brooklyn;623 CHURCH AVENUE
Brooklyn;1505 AVENUE U
Brooklyn;312 KNICKERBOCKER AVENUE
Bronx;1709 WEBSTER AVENUE
Manhattan;622 10th AVENUE
Staten Island;2655 RICHMOND AVENUE
Queens;16601 BAISLEY BLVD
Manhattan;41 EAST    7th STREET
Manhattan;930 3rd AVENUE
Brooklyn;1073 LIBERTY AVENUE
Queens;8009 ROOSEVELT AVE
Brooklyn;1404 CORTELYOU ROAD
Brooklyn;839 KNICKERBOCKER AVENUE
Manhattan;800 6th AVENUE
Staten Island;3080 ARTHUR KILL ROAD
Brooklyn;2770 ATLANTIC AVENUE
Queens;11609 METROPOLITAN AVE
Manhattan;624660 WEST   42nd STREET
Brooklyn;10416 FLATLANDS AVENUE
Brooklyn;7522 3rd AVENUE
Manhattan;370 WEST   52nd STREET
Manhattan;203 SPRING STREET
Manhattan;212 WEST   14th STREET
Staten Island;977 VICTORY BOULEVARD
Manhattan;786 9th AVENUE
Brooklyn;1460 ROCKAWAY PARKWAY
Queens;11619 MYRTLE AVE
Brooklyn;10110 FOSTER AVENUE
Brooklyn;241 AVENUE X
Queens;23609 BRADDOCK AVE
Queens;18-05 215th STREET
Manhattan;3772 BROADWAY
Staten Island;382 FOREST AVENUE
Manhattan;637 2nd AVENUE
Manhattan;2588 BROADWAY
Manhattan;101 MACDOUGAL STREET
Manhattan;143 8TH AVE
Queens;0 JFK INT'L AIRPORT
Manhattan;548 WEST   48th STREET
Manhattan;31 AVENUE C
Bronx;2895 SEDGWICK AVENUE
Manhattan;164 MOTT STREET
Brooklyn;798A FRANKLIN AVENUE
Manhattan;1700 BROADWAY
Brooklyn;285 COURT STREET
Manhattan;842 2nd AVENUE
Staten Island;7517 AMBOY ROAD
Staten Island;1499 FOREST AVENUE
Queens;31-06 31st STREET
Brooklyn;43 HICKS STREET
Queens;4818 NORTHERN BOULEVARD
Bronx;169 WEST TREMONT AVENUE
Manhattan;1221 AVE OF TH AMER
Manhattan;112 WEST   38th STREET
Queens;46-19 QUEENS BOULEVARD
Manhattan;2 PENNSYLVANIA PLAZA
Manhattan;132 WEST   31st STREET
Brooklyn;316 KINGS HIGHWAY
Manhattan;245 EAST HOUSTON STREET
Manhattan;118 EAST   40th STREET
Queens;161-03 CROSSBAY BOULEVARD
Bronx;55 EAST  167th STREET
Brooklyn;9 BAY   22nd STREET
Bronx;4466 BAYCHESTER AVENUE
Queens;3704 DITMARS BOULEVARD
Queens;8417 JAMAICA AVE
Manhattan;10 EAST   53rd STREET
Brooklyn;251 5th AVENUE
Manhattan;43 WEST   55th STREET
Brooklyn;5 FRONT STREET
Manhattan;5009 BROADWAY
Brooklyn;926 CLARKSON AVENUE
Brooklyn;61 7th AVENUE
Manhattan;322 WEST   57th STREET
Manhattan;1270A ST NICHOLAS AVENUE
Brooklyn;113 NORTH    3rd STREET
Manhattan;1980 3rd AVENUE
Brooklyn;8822 3rd AVENUE
Queens;4622 KISSENA BLVD
Manhattan;117 PERRY STREET
Manhattan;655 WEST   34th STREET
Brooklyn;520 DEKALB AVENUE
Brooklyn;2040 86th STREET
Bronx;1776 EASTCHESTER RD
Brooklyn;2940 CROPSEY AVENUE
Queens;16030 NORTHERN BLVD
Bronx;825 MORRIS PARK AVENUE
Queens;0 JFK INT AIR PORT
Manhattan;31 SAINT MARKS PLACE
Brooklyn;460 3rd AVENUE
Brooklyn;2113 AVENUE Z
Queens;21525 73rd AVENUE
Queens;80-28 NORTHERN BOULEVARD
Queens;15715 ROCKAWAY BLVD
Manhattan;265 CANAL STREET
Manhattan;1446 1st AVENUE
Manhattan;126 WEST   18th STREET
Queens;9614 METROPOLITAN AVE
Bronx;2728 EAST TREMONT AVENUE
Queens;8517 37TH AVE
Manhattan;333 PARK AVENUE SOUTH
Manhattan;198 8th AVENUE
Manhattan;171 EAST   88th STREET
Bronx;55925594 BROADWAY
Brooklyn;5103 7th AVENUE
Bronx;2516 WHITE PLAINS ROAD
Brooklyn;445 ALBEE SQUARE WEST
Manhattan;2153 8th AVENUE
Manhattan;118 ELDRIDGE STREET
Brooklyn;679 CONEY ISLAND AVENUE
Manhattan;355 7th AVENUE
Brooklyn;167 COURT STREET
Manhattan;928 BROADWAY
Manhattan;80 SPRING STREET
Manhattan;255 EAST  110th STREET
Manhattan;406 AVENUE OF THE AMERICAS
Bronx;2075 JEROME AVENUE
Queens;11251 ROOSEVELT AVE
Manhattan;725 5th AVENUE
Manhattan;285 MOTT STREET
Brooklyn;384 5th AVENUE
Brooklyn;471A 5th AVENUE
Queens;156-50 NORTHERN BOULEVARD
Queens;3302 36TH AVE
Manhattan;123 WEST   45th STREET
Manhattan;417 WEST   47th STREET
Manhattan;826 10th AVENUE
Brooklyn;271 BAY RIDGE AVENUE
Brooklyn;4307 18th AVENUE
Manhattan;11 ALLEN STREET
Queens;105-04 LIBERTY AVENUE
Manhattan;126 DYCKMAN STREET
Manhattan;412 GREENWICH STREET
Manhattan;540 COLUMBUS AVENUE
Queens;211-61 JAMAICA AVENUE
Queens;13515 40TH RD
Brooklyn;865 4th AVENUE
Manhattan;111 EAST   56th STREET
Queens;29-16 CRESCENT STREET
Brooklyn;7103 18th AVENUE
Queens;9209 JAMAICA AVE
Brooklyn;490 HUMBOLDT STREET
Brooklyn;409 IRVING AVENUE
Brooklyn;8510 21st AVENUE
Brooklyn;5701 FORT HAMILTON PARKWAY
Brooklyn;234 CLEVELAND STREET
Brooklyn;637A VANDERBILT AVENUE
Manhattan;330 WEST   40th STREET
Manhattan;45 WEST   46th STREET
Manhattan;712 WEST  125th STREET
Manhattan;310 BOWERY
Manhattan;3764 BROADWAY
Queens;87-69 SUTPHIN BOULEVARD
Manhattan;1565 LEXINGTON AVENUE
Brooklyn;441 MYRTLE AVENUE
Manhattan;75 MAIDEN LANE
Manhattan;427 AMSTERDAM AVENUE
Queens;4214B BOWNE ST
Manhattan;37 WEST   65th STREET
Queens;135-19 40th ROAD
Manhattan;1150 LEXINGTON AVENUE
Queens;22-36 31st STREET
Manhattan;50 WEST   22nd STREET
Brooklyn;1772 ROCKAWAY PARKWAY
Brooklyn;292 ATLANTIC AVENUE
Manhattan;339 LEXINGTON AVENUE
Queens;9035 CORONA AVE
Manhattan;225 EAST   44th STREET
Queens;41-31 QUEENS BOULEVARD
Bronx;5677 RIVERDALE AVENUE
Bronx;3580 BRONXWOOD AVENUE
Bronx;1A EAST  183rd STREET
Queens;39-01 104th STREET
Manhattan;14 EAST   33rd STREET
Brooklyn;279 FLATBUSH AVENUE
Brooklyn;5221 AVENUE N
Manhattan;88 2nd AVENUE
Bronx;5523 BROADWAY
Brooklyn;1371 FULTON STREET
Brooklyn;46 BOGART STREET
Brooklyn;1377 SUTTER AVENUE
Brooklyn;6820 4th AVENUE
Manhattan;471 LEXINGTON AVENUE
Queens;26805 HILLSIDE AVENUE
Bronx;1207 CASTLE HILL AVENUE
Manhattan;132 EAST   39th STREET
Brooklyn;1456 ST JOHN'S PLACE
Brooklyn;872 UTICA AVENUE
Queens;3095 33RD ST
Manhattan;100 PARK AVENUE
Queens;48-03 DITMARS BOULEVARD
Staten Island;529 TOMPKINS AVENUE
Manhattan;4455 BROADWAY
Brooklyn;429 NEW LOTS AVENUE
Manhattan;1570 3rd AVENUE
Manhattan;99 NASSAU STREET
Queens;9558 ROOSEVELT AVE
Manhattan;4162 BROADWAY
Queens;55-21 MYRTLE AVENUE
Brooklyn;9303 3rd AVENUE
Queens;156-05 45th AVENUE
Manhattan;203 1st AVENUE
Brooklyn;2870 LINDEN BOULEVARD
Manhattan;1 UNITED NATIONS PLAZA
Bronx;3891 SEDGWICK AVENUE
Manhattan;531 HUDSON STREET
Queens;3903 104TH ST
Manhattan;135 WEST   30th STREET
Bronx;1029 EAST  167th STREET
Staten Island;668 BAY STREET
Queens;221-13 LINDEN BOULEVARD
Bronx;1802 WESTCHESTER AVENUE
Manhattan;169 8th AVENUE
Queens;3007 NEWTOWN AVE
Queens;42-18A JUNCTION BOULEVARD
Brooklyn;5908 AVENUE N
Queens;20505 HILLSIDE AVE
Manhattan;81 LEXINGTON AVENUE
Queens;4332 CORPORAL KENNEDY ST
Queens;0 JFK AIRPORT
Queens;8265 PARSONS BLVD
Manhattan;1324 2nd AVENUE
Queens;14-22 150th STREET
Manhattan;319 CHURCH STREET
Bronx;80 WEST KINGSRIDGE ROAD
Queens;69-25 GRAND AVENUE
Manhattan;59 READE STREET
Brooklyn;1608 AVENUE H
Manhattan;100 PARK AVENUE
Manhattan;261 1st AVENUE
Manhattan;1540 SAINT NICHOLAS AVENUE
Brooklyn;2579 CROPSEY AVENUE
Manhattan;2248 1st AVENUE
Manhattan;521 5th AVENUE
Manhattan;107 RIVINGTON STREET
Manhattan;232 WEST   14th STREET
Queens;3916 COLLEGE POINT BLVD
Queens;8901 37TH AVE
Manhattan;17 JOHN STREET
Manhattan;60 THOMPSON STREET
Brooklyn;151 AVENUE U
Queens;4102 COLLEGE POINT BLVD
Manhattan;133 WEST   33rd STREET
Queens;86-22 ROOSEVELT AVENUE
Brooklyn;428 BERGEN STREET
Manhattan;235 ELDRIDGE STREET
Bronx;55 EAST  167th STREET
Staten Island;337 NEW DORP LANE
Manhattan;293 EAST   10th STREET
Manhattan;0 WEST 42nd STREET
Manhattan;13 SAINT MARKS PLACE
Manhattan;200 PARK AVENUE
Manhattan;1089 2nd AVENUE
Manhattan;97 ELIZABETH STREET
Manhattan;501 5th AVENUE
Manhattan;30 ROCKEFELLER PLAZA
Manhattan;86 ORCHARD STREET
Queens;144-28 HILLSIDE AVENUE
Brooklyn;73 JAY STREET
Manhattan;158 WEST   44th STREET
Queens;127-19 MERRICK BOULEVARD
Staten Island;1068 CASTLETON AVENUE
Brooklyn;1008 CORTELYOU ROAD
Queens;106-06 QUEENS BOULEVARD
Queens;3402 BROADWAY
Brooklyn;7701 5th AVENUE
Queens;1022 46TH AVE
Brooklyn;5713 4th AVENUE
Manhattan;285 MOTT STREET
Brooklyn;723 FULTON STREET
Queens;17235 HILLSIDE AVENUE
Manhattan;125 EAST   50th STREET
Manhattan;78 5th AVENUE
Manhattan;1000S 8th AVENUE
Manhattan;120 EAST   15th STREET
Brooklyn;178 AVENUE U
Brooklyn;521 HICKS STREET
Queens;1715 CORNELIA STREET
Manhattan;1796 BROADWAY
Queens;NKA JFK AIRPORT
Queens;4005 BROADWAY
Manhattan;641 2nd AVENUE
Manhattan;511 EAST   12nd STREET
Manhattan;727 7th AVENUE
Brooklyn;159 WILSON AVENUE
Brooklyn;129 GATES AVENUE
Brooklyn;547 NOSTRAND AVENUE
Manhattan;52 EAST   41st STREET
Brooklyn;634 4th AVENUE
Manhattan;75 9th AVENUE
Brooklyn;8812 4th AVENUE
Manhattan;441 PARK AVENUE SOUTH
Staten Island;3838 RICHMOND AVENUE
Manhattan;98 MAIDEN LANE
Queens;13617 39TH AVE
Brooklyn;4415 8th AVENUE
Queens;41-05 NORTHERN BOULEVARD
Brooklyn;5911 4th AVENUE
Manhattan;0 PENN STATION
Brooklyn;1969 86th STREET
Bronx;700 EXTERIOR STREET
Manhattan;401 GREENWICH STREET
Manhattan;223 EAST   14th STREET
Manhattan;1626 ST NICHOLAS AVENUE
Brooklyn;101 BEDFORD AVENUE
Manhattan;106 EAST   57th STREET
Queens;21312 48TH AVENUE
Brooklyn;2942 FULTON STREET
Queens;136-20 ROOSEVELT AVENUE
Queens;87-92 PARSONS BOULEVARD
Manhattan;41 WEST   40th STREET
Brooklyn;8504 5th AVENUE
Brooklyn;1346 BROADWAY
Brooklyn;3352 FULTON STREET
Manhattan;210 WEST   10th STREET
Manhattan;117 EAST    7th STREET
Queens;15411 POWELLS COVE BOULEVARD
Manhattan;4 WORLD FINANCIAL CENTER
Manhattan;648 9th AVENUE
Manhattan;49 GRAND CENTRAL TERMINAL
Queens;16254 CROSSBAY BOULEVARD
Queens;158-12 CROSSBAY BOULEVARD
Manhattan;231 WEST   39th STREET
Brooklyn;1416 AVENUE J
Queens;3819 MAIN ST
Brooklyn;289 LIVINGSTON STREET
Brooklyn;211 WYCKOFF AVENUE
Queens;13458 SPRINGFIELD BLVD
Brooklyn;286 BROADWAY
Manhattan;501 WEST  184th STREET
Queens;89-05 NORTHERN BOULEVARD
Manhattan;558 11st AVENUE
Brooklyn;12 BAY   25th STREET
Manhattan;47 WEST   55th STREET
Queens;58-14 ROOSEVELT AVENUE
Queens;166-12 HILLSIDE AVENUE
Queens;7302 COOPER AVENUE
Manhattan;205 ALLEN STREET
Manhattan;2545 AMSTERDAM AVENUE
Queens;10702 CORONA AVE
Manhattan;1378 LEXINGTON AVENUE
Queens;4116 FULLER PL
Bronx;53 EAST KINGSBRIDGE ROAD
Manhattan;123 EAST    7th STREET
Manhattan;11 MAIDEN LANE
Manhattan;215 WEST   85th STREET
Queens;14713 HILLSIDE AVENUE
Queens;nan JFK AIRPORT
Brooklyn;200 COURT STREET
Manhattan;148 WEST   72nd STREET
Manhattan;55 LEXINGTON AVENUE
Staten Island;1367 FOREST AVENUE
Queens;129-21 MERRICK BOULEVARD
Manhattan;88 EAST BROADWAY
Bronx;880 EAST TREMONT AVENUE
Manhattan;1580 3rd AVENUE
Queens;9505 57TH AVE
Manhattan;145 WEST   45th STREET
Queens;7915 ROOSEVELT AVENUE
Brooklyn;1215 LIBERTY AVENUE
Queens;10826 GUY R BREWER BOULEVARD
Bronx;3815 DYRE AVENUE
Bronx;815 HUTCHINSON RIVER PARKWAY
Queens;3445 48TH ST
Bronx;839 PROSPECT AVENUE
Queens;40-24 COLLEGE POINT BOULEVARD
Manhattan;83 CHRYSTIE STREET
Bronx;2448 JEROME AVENUE
Queens;6924 METROPOLITAN AVENUE
Manhattan;766 9th AVENUE
Manhattan;3631 BROADWAY
Brooklyn;1608 AVENUE H
Manhattan;90 UNIVERSITY PLACE
Queens;6120 FRESH MEADOW LANE
Staten Island;60 VAN DUZER STREET
Manhattan;1506B SAINT NICHOLAS AVENUE
Brooklyn;4102 3rd AVENUE
Manhattan;1535 BROADWAY
Brooklyn;233 UTICA AVENUE
Manhattan;201 WEST   79th STREET
Manhattan;nan 48 west 48th street
Manhattan;5 OLIVER STREET
Brooklyn;511 MYRTLE AVENUE
Brooklyn;3123 FULTON STREET
Queens;3804 JUNCTION BOULEVARD
Manhattan;46 WEST  116th STREET
Manhattan;1215 THIRD AVENUE
Brooklyn;1602 SHORE PARKWAY
Manhattan;261 MADISON AVENUE
Bronx;5677 RIVERDALE AVENUE
Brooklyn;7324 13rd AVENUE
Manhattan;200 PARK AVE
Queens;11808 ATLANTIC AVENUE
Brooklyn;82 5th AVENUE
Manhattan;207 EAST   26th STREET
Queens;14711 45TH AVE
Queens;2558 STEINWAY ST
Brooklyn;1278 NOSTRAND AVENUE
Manhattan;1011 3rd AVENUE
Manhattan;220 CANAL STREET
Manhattan;125 MOTT STREET
Brooklyn;6218 11st AVENUE
Manhattan;2733 8th AVENUE
Queens;8417 NORTHERN BLVD
Brooklyn;67A UTICA AVENUE
Queens;5701 JUNCTION BLVD
Manhattan;630 3rd AVENUE
Queens;8610 JUSTICE AVE
Brooklyn;1180 BEDFORD AVENUE
Staten Island;4842 ARTHUR KILL ROAD
Manhattan;111A 11st AVENUE
Brooklyn;336 MYRTLE AVENUE
Queens;853 WYCKOFF AVENUE
Manhattan;2179 3rd AVENUE
Manhattan;300 E 86TH ST
Manhattan;1134 BROADWAY
Brooklyn;717 KNICKERBOCKER AVENUE
Brooklyn;403 CHURCH AVENUE
Bronx;4189 WHITE PLAINS ROAD
Manhattan;1902 A C POWELL BOULEVARD
Brooklyn;302 ATLANTIC AVENUE
Queens;169-22 HILLSIDE AVENUE
Brooklyn;1786 STILLWELL AVENUE
Manhattan;132 7th AVENUE
Brooklyn;2650 CONEY ISLAND AVENUE
Brooklyn;2809 OCEAN AVENUE
Queens;9273 QUEENS BLVD
Manhattan;233 1st AVENUE
Brooklyn;55 WATER STREET
Bronx;494 EAST  138th STREET
Queens;3617 GREENPOINT AVE
Brooklyn;261 KINGS HIGHWAY
Manhattan;35 WEST END AVENUE
Queens;9015 QUEENS BLVD
Manhattan;251 WEST   42nd STREET
Queens;138-44 84th DRIVE
Staten Island;640 FOREST AVENUE
Manhattan;522 COLUMBUS AVENUE
Queens;8326 NORTHERN BLVD
Manhattan;320 WEST   45th STREET
Brooklyn;884 REMSEN AVENUE
Manhattan;501 WEST  133rd STREET
Bronx;0 HUNTS POINT
Queens;6448 108TH ST
Manhattan;200 BROADWAY
Bronx;1135C MORRIS PARK AVENUE
